SampleID	Treatment	CORTpg.g.h
28	Agitated	66.238628
31	Agitated	84.63736048
33	Agitated	23.07570281
38	Agitated	29.87808296
45	Agitated	82.33829368
50	Agitated	54.58560747
52	Agitated	72.49147684
61	Agitated	38.68957183
65	Agitated	38.45510516
92	Agitated	21.21099559
4	Control	20.06592885
9	Control	71.62031599
20	Control	26.13513806
26	Control	15.91128206
37	Control	26.85487006
47	Control	27.975488
57	Control	20.51925733
68	Control	37.03269916
78	Control	30.38241366
79	Control	41.5393869
84	Control	15.05190366
91	Control	23.08935179
1	HighBsal	102.6666222
12	HighBsal	169.7411292
14	HighBsal	202.9953342
24	HighBsal	66.53086372
51	HighBsal	122.3054801
60	HighBsal	117.7197275
69	HighBsal	89.20634052
74	HighBsal	154.4165768
80	HighBsal	138.2511831
90	HighBsal	95.96315549
6	Bacillus	83.95063083
11	Bacillus	12.90373322
17	Bacillus	14.0102912
30	Bacillus	12.79914217
35	Bacillus	30.26458108
40	Bacillus	33.41430176
49	Bacillus	16.15755714
62	Bacillus	44.96309123
73	Bacillus	9.777856223
82	Bacillus	29.69052381
8	Penicillium	50.8574981
16	Penicillium	46.71701531
29	Penicillium	47.47737213
36	Penicillium	54.90441015
46	Penicillium	72.13204127
58	Penicillium	104.5860494
75	Penicillium	60.62025481
88	Penicillium	90.59763698
5	Chryseobacterium	29.57213697
10	Chryseobacterium	23.65064928
25	Chryseobacterium	16.28248295
43	Chryseobacterium	32.62957756
53	Chryseobacterium	20.61327918
71	Chryseobacterium	24.19818771
83	Chryseobacterium	18.88998694
89	Chryseobacterium	36.48633528
