LifeStage	Treatment	Weight	SampleDay	Container	Description	Mass_30_days	Change_mass	Prop_change_mass
Juvenile	High Bsal	0.9797	0		1	1.0141	0.0344	0.03511279
Juvenile	LowBsal	1.0523	0		2	1.0789	0.0266	0.025277963
Juvenile	High Bsal + Thyroid	0.6772	0		3	0.698	0.0208	0.030714708
Juvenile	Control	0.8974	0		4	0.948	0.0506	0.056385113
Juvenile	Chryseobacterium	0.7802	0		5	0.8372	0.057	0.07305819
Juvenile	Lysinibacillus	0.8587	0		6	0.8462	0.0125	0.014556888
Juvenile	LowBsal	0.8574	0		7	0.853	0.0044	0.005131794
Juvenile	Penicillium	0.9205	0		8	0.8526	0.0679	0.073764259
Juvenile	Chryseobacterium	1.2999	0		10	0.5049	0.795	0.611585507
Juvenile	Lysinibacillus	0.8839	0		11	1.3092	0.4253	0.481163027
Juvenile	High Bsal	0.8258	0		12	0.8691	0.0433	0.052434003
Juvenile	High Bsal + Thyroid	0.7067	0		13	0.7831	0.0764	0.108108108
Juvenile	High Bsal	0.8749	0		14	0.7517	0.1232	0.140816093
Juvenile	Penicillium	0.7765	0		15	0.8018	0.0253	0.032582099
Juvenile	Penicillium	1.0722	0		16	0.8069	0.2653	0.24743518
Juvenile	Lysinibacillus	1.0613	0		17	0.9967	0.0646	0.060868746
Juvenile	High Bsal Repeated	0.7973	0		18	1.1039	0.3066	0.384547849
Juvenile	LowBsal	1.0012	0		19	0.7891	0.2121	0.211845785
Juvenile	Control	0.9845	0		20	0.9828	0.0017	0.001726765
Juvenile	High Bsal Repeated	0.9304	0		21	1.0961	0.1657	0.178095443
Juvenile	High Bsal + Thyroid	0.9252	0		22	0.9335	0.0083	0.008971033
Juvenile	High Bsal Repeated	0.755	0		23	0.8973	0.1423	0.188476821
Juvenile	High Bsal	1.1612	0		24	0.7623	0.3989	0.343523941
Juvenile	Chryseobacterium	1.1594	0		25	1.1868	0.0274	0.023632914
Juvenile	Control	1.1771	0		26	1.176	0.0011	0.0009345
Juvenile	Control	0.5851	0		27	1.102	0.5169	0.883438728
Juvenile	Agitated	0.7564	0		28	0.6153	0.1411	0.186541512
Juvenile	Penicillium	0.9854	0		29	0.7119	0.2735	0.277552263
Juvenile	Lysinibacillus	1.1064	0		30	1.0141	0.0923	0.083423717
Juvenile	Agitated	0.9497	0		31	1.1568	0.2071	0.218068864
Juvenile	High Bsal + Thyroid	0.8443	0		32	0.9676	0.1233	0.146038138
Juvenile	Agitated	1.0137	0		33	0.8012	0.2125	0.209628095
Juvenile	LowBsal	1.3265	0		34	0.9898	0.3367	0.253825858
Juvenile	Lysinibacillus	0.8012	0		35	1.3655	0.5643	0.704318522
Juvenile	Penicillium	0.951	0		36	0.7555	0.1955	0.205573081
Juvenile	Control	0.6426	0		37	0.9549	0.3123	0.485994398
Juvenile	Agitated	0.725	0		38	0.6162	0.1088	0.150068966
Juvenile	High Bsal Repeated	0.6255	0		39	0.7341	0.1086	0.173621103
Juvenile	Lysinibacillus	0.8971	0		40	0.6651	0.232	0.25861108
Juvenile	LowBsal	1.0193	0		41	0.9467	0.0726	0.071225351
Juvenile	Penicillium	1.0433	0		42	1.1101	0.0668	0.064027605
Juvenile	Chryseobacterium	1.0739	0		43	1.0595	0.0144	0.01340907
Juvenile	High Bsal + Thyroid	0.9089	0		44	0.9883	0.0794	0.087358345
Juvenile	Agitated	0.6105	0		45	0.916	0.3055	0.5004095
Juvenile	Control	0.6217	0		47	0.6567	0.035	0.056297249
Juvenile	High Bsal Repeated	0.9257	0		48	0.9231	0.0026	0.002808685
Juvenile	Lysinibacillus	0.9027	0		49	0.7307	0.172	0.190539493
Juvenile	Agitated	0.7967	0		50	0.8767	0.08	0.100414209
Juvenile	High Bsal	0.6198	0		51	0.984	0.3642	0.587608906
Juvenile	Agitated	0.7153	0		52	0.7561	0.0408	0.057039005
Juvenile	Chryseobacterium	0.8435	0		53	0.6312	0.2123	0.251689389
Juvenile	High Bsal Repeated	0.8088	0		54	0.752	0.0568	0.070227498
Juvenile	Chryseobacterium	0.9193	0		55	0.8283	0.091	0.098988361
Juvenile	High Bsal + Thyroid	0.8467	0		56	0.8333	0.0134	0.015826149
Juvenile	Control	1.1068	0		57	0.8785	0.2283	0.206270329
Juvenile	Penicillium	1.0696	0		58	0.8684	0.2012	0.188107704
Juvenile	Control	0.8396	0		59	1.1187	0.2791	0.3324202
Juvenile	High Bsal	1.0313	0		60	1.0359	0.0046	0.00446039
Juvenile	Agitated	0.7762	0		61	0.8851	0.1089	0.140298892
Juvenile	Lysinibacillus	1.1748	0		62	1.018	0.1568	0.133469527
Juvenile	High Bsal Repeated	0.9082	0		63	0.7554	0.1528	0.16824488
Juvenile	Agitated	0.7035	0		65	1.1499	0.4464	0.634541578
Juvenile	LowBsal	0.8461	0		66	0.8722	0.0261	0.030847418
Juvenile	High Bsal Repeated	0.836	0		67	1.0393	0.2033	0.243181818
Juvenile	High Bsal	1.0844	0		69	0.7009	0.3835	0.353651789
Juvenile	LowBsal	0.8747	0		70	0.8417	0.033	0.037727221
Juvenile	Chryseobacterium	0.579	0		71	0.8128	0.2338	0.403799655
Juvenile	High Bsal + Thyroid	1.0903	0		72	0.7112	0.3791	0.347702467
Juvenile	Lysinibacillus	1.1097	0		73	1.0783	0.0314	0.028295936
Juvenile	High Bsal	1.0107	0		74	0.8031	0.2076	0.205402196
Juvenile	Penicillium	0.8728	0		75	0.5679	0.3049	0.349335472
Juvenile	LowBsal	0.7304	0		76	1.053	0.3226	0.441675794
Juvenile	High Bsal Repeated	0.9304	0		77	1.0754	0.145	0.155846948
Juvenile	Control	0.7757	0		78	0.9671	0.1914	0.246744876
Juvenile	Control	0.7414	0		79	0.8376	0.0962	0.129754518
Juvenile	High Bsal	0.9535	0		80	0.73	0.2235	0.23439958
Juvenile	LowBsal	1.0923	0		81	0.8786	0.2137	0.195642223
Juvenile	Lysinibacillus	0.9643	0		82	0.7875	0.1768	0.183345432
Juvenile	Chryseobacterium	1.1631	0		83	0.7269	0.4362	0.375032241
Juvenile	High Bsal Repeated	1.1631	0		85	0.9447	0.2184	0.187774052
Juvenile	LowBsal	0.5403	0		86	1.0597	0.5194	0.961317786
Juvenile	High Bsal + Thyroid	1.2407	0		87	0.9375	0.3032	0.244378174
Juvenile	Penicillium	0.5338	0		88	1.1509	0.6171	1.156050955
Juvenile	High Bsal	0.9429	0		90	1.1765	0.2336	0.247746315
Juvenile	Control	0.9317	0		91	1.1956	0.2639	0.28324568
Juvenile	Agitated	0.7266	0		92	0.5299	0.1967	0.270712909
Juvenile	Control	0.5649	0		93	1.163	0.5981	1.058771464
Juvenile	Chryseobacterium	0.9954	0		94	0.525	0.4704	0.47257384
Juvenile	High Bsal	1.0141	30		1	0.8107	0.2034	0.200571936
Juvenile	LowBsal	1.0789	30		2	0.9274	0.1515	0.140420799
Juvenile	High Bsal + Thyroid	0.698	30		3	0.86	0.162	0.232091691
Juvenile	Control	0.948	30		4	0.6911	0.2569	0.270991561
Juvenile	Chryseobacterium	0.8372	30		5	0.5901	0.2471	0.295150502
Juvenile	Lysinibacillus	0.8462	30		6	0.9425	0.0963	0.113802883
Juvenile	LowBsal	0.853	30		7	0.8759	0.0229	0.026846424
