Class	Adult	Juvenile	Larvae	Pond Water
Leotiomycetes	0.054159155	0.164752781	0.173011233	0.281976125
Sordariomycetes	0.03527622	0.22992184	0.019503683	0.166471886
Dothideomycetes	0.163557096	0.065967039	0.085962373	0.036563712
Saccharomycetes	0.112404362	0.037876367	0.009541742	0.188630708
Eurotiomycetes	0.097109657	0.074141377	0.097163654	0.036697589
Tremellomycetes	0.048408654	0.139667174	0.025445155	0.090253838
Microbotryomycetes	0.062893206	0.006315876	0.208183877	6.61E-05
Pezizomycotina_cls_Incertae_sedis	0.005653838	0.16382792	0.000956678	0.070790909
Wallemiomycetes	0.06771514	0.060533907	0.006939126	0.044798148
Agaricomycetes	0.030879474	0.009568586	0.097714429	0.033326954
Umbelopsidomycetes	0.000520534	0.019204024	4.04E-05	0.002611962
Lecanoromycetes	0.010560448	5.62E-05	0.005515238	0
Basidiobolomycetes	0.00348307	2.63E-06	0.010761253	8.27E-06
Rhizophydiomycetes	0.002506636	0.002796636	0	0.002822711
Dacrymycetes	0	0	0.005371571	0
Cystobasidiomycetes	0.002841249	4.43E-05	0.001678124	0
Mortierellomycetes	0.001084333	0.000535642	0	0.000739773
Taphrinomycetes	0.001413576	0	0	0
Arthoniomycetes	0.000880476	0	0	0
Others	0.298652878	0.024787685	0.252211427	0.044241295
